game_id,game_date,total_points,home_points,away_points,home_team,home_pts_last_3,home_pts_last_5,home_pts_last_10,home_opp_pts_last_5,home_pts_std_5,home_pts_last_5_home,away_team,away_pts_last_3,away_pts_last_5,away_pts_last_10,away_opp_pts_last_5,away_pts_std_5,away_pts_last_5_away,combined_pts_last_3,combined_pts_last_5,combined_pts_last_10,home_off_vs_away_def,away_off_vs_home_def,home_field_advantage
401809799,2025-11-26,245,132,113,WSH,,,,,,,ATL,,,,,,,,,,,,
401809811,2025-11-29,253,130,123,ATL,113.0,113.0,113.0,132.0,,113.0,CLE,99.0,99.0,99.0,110.0,,99.0,212.0,212.0,212.0,3.0,-33.0,14.0
401810159,2025-11-30,276,134,142,PHI,109.0,109.0,109.0,123.5,8.48528137423857,103.0,ATL,121.5,121.5,121.5,127.5,12.020815280171307,113.0,230.5,230.5,230.5,-18.5,-2.0,-10.0
401810164,2025-12-02,197,99,98,DET,120.33333333333333,120.75,120.75,120.25,12.685293322058685,109.0,ATL,128.33333333333334,128.33333333333334,128.33333333333334,129.66666666666666,14.571661996262925,127.5,248.66666666666669,249.08333333333334,249.08333333333334,-8.916666666666657,8.083333333333343,-18.5
401810182,2025-12-04,207,92,115,ATL,123.33333333333333,120.75,120.75,122.0,19.276496915501358,130.0,LAC,113.33333333333333,114.5,114.5,125.25,7.325753658611969,120.5,236.66666666666666,235.25,235.25,-4.5,-7.5,9.5
401810195,2025-12-06,267,133,134,ATL,110.66666666666667,115.0,115.0,120.6,21.071307505705477,111.0,DEN,128.66666666666666,129.4,129.4,123.4,6.426507605223852,130.0,239.33333333333331,244.4,244.4,-8.400000000000006,8.800000000000011,-19.0
401810206,2025-12-07,247,116,131,WSH,110.66666666666667,110.0,110.0,125.0,19.78635893740938,120.66666666666667,ATL,107.66666666666667,119.0,118.0,121.0,22.44994432064365,117.66666666666667,218.33333333333334,229.0,228.0,-11.0,-6.0,3.0
401836751,2025-12-13,257,142,115,DET,118.33333333333333,118.4,117.125,114.8,14.943225890014512,113.5,ATL,118.66666666666667,119.2,119.85714285714286,119.6,22.57653649256236,121.0,237.0,237.60000000000002,236.98214285714286,-1.1999999999999886,4.400000000000006,-7.5
401836798,2025-12-14,237,120,117,ATL,126.33333333333333,113.8,119.25,121.2,18.646715528478467,118.33333333333333,PHI,113.0,111.8,113.875,103.6,8.526429498916883,115.5,239.33333333333331,225.6,233.125,10.200000000000003,-9.400000000000006,2.8333333333333286
401810226,2025-12-19,259,133,126,CHA,117.0,113.2,112.33333333333333,112.0,9.203260291874832,114.8,ATL,122.0,118.2,119.33333333333333,124.8,16.452963258939103,119.8,239.0,231.4,231.66666666666666,-11.599999999999994,6.200000000000003,-5.0
401810238,2025-12-20,224,98,126,ATL,120.33333333333333,125.0,120.0,128.4,7.516648189186452,118.75,SA,114.33333333333333,122.0,121.8,115.6,10.954451150103322,121.6,234.66666666666666,247.0,241.8,9.400000000000006,-6.400000000000006,-2.8499999999999943
401810251,2025-12-21,302,150,152,ATL,114.66666666666667,118.0,118.5,126.8,12.708265027138832,114.6,CHI,122.33333333333333,117.4,113.2,119.8,19.03417978269618,120.4,237.0,235.4,231.7,-1.7999999999999972,-9.399999999999991,-5.800000000000011
401810266,2025-12-24,249,123,126,ATL,124.66666666666667,121.8,120.5,134.0,18.89973544788392,118.6,CHI,138.33333333333334,129.6,116.8,125.2,17.35799527595281,127.6,263.0,251.39999999999998,237.3,-3.4000000000000057,-4.400000000000006,-9.0
401810278,2025-12-27,237,111,126,ATL,123.66666666666667,123.4,118.6,130.8,18.51485889765299,124.8,MIA,110.66666666666667,106.8,110.6,114.8,13.989281611290837,112.0,234.33333333333334,230.2,229.2,8.600000000000009,-24.000000000000014,12.799999999999997
401810290,2025-12-28,253,125,128,ATL,128.0,121.6,119.9,132.6,19.346834366376324,120.4,NY,120.66666666666667,116.6,120.8,118.6,12.074767078498866,116.8,248.66666666666669,238.2,240.7,3.0,-16.0,3.6000000000000085
401810310,2025-12-30,269,140,129,OKC,113.66666666666667,113.4,119.9,113.2,10.691117808723279,116.2,ATL,119.66666666666667,121.4,123.2,131.6,19.295077092357,122.4,233.33333333333334,234.8,243.10000000000002,-18.19999999999999,8.200000000000003,-6.200000000000003
401810318,2025-12-31,228,126,102,ATL,121.66666666666667,127.6,122.8,134.4,14.205632685663808,121.4,MIN,127.0,119.8,117.0,114.0,16.300306745579974,135.0,248.66666666666669,247.39999999999998,239.8,13.599999999999994,-14.600000000000009,-13.599999999999994
401810334,2026-01-03,210,99,111,NY,130.0,124.0,122.9,124.6,11.40175425099138,119.0,ATL,126.66666666666667,122.8,122.3,124.4,6.942621983083905,119.8,256.6666666666667,246.8,245.2,-0.4000000000000057,-1.7999999999999972,-0.7999999999999972
401810343,2026-01-04,251,134,117,TOR,117.0,116.0,107.5,113.6,14.933184523068086,109.6,ATL,122.0,120.4,121.9,119.0,8.70631954387156,122.4,239.0,236.4,229.4,-3.0,6.800000000000011,-12.800000000000011
401810359,2026-01-06,218,118,100,TOR,114.66666666666667,120.4,110.8,118.8,16.60722734233503,116.2,ATL,118.0,121.6,121.6,120.6,7.40270220932869,119.6,232.66666666666669,242.0,232.39999999999998,-0.19999999999998863,2.799999999999997,-3.3999999999999915
401810374,2026-01-08,217,117,100,ATL,109.33333333333333,116.6,119.0,118.6,11.717508267545615,127.0,NO,106.0,112.2,114.8,124.4,9.09395403551173,111.4,215.33333333333331,228.8,233.8,-7.800000000000011,-6.3999999999999915,15.599999999999994
